xs,acc_av,acc_std,time_av,time_std
10,100.0,0.0,0.1445624208,0.002594074213159984
1000,100.0,0.0,14.655078591799999,0.5305318683624827
2000,100.0,0.0,38.8040669416,2.6410420090066014
3000,76.39,7.870220948472653,57.5010817875,0.9198756742686685
4000,53.11,0.14977761292440672,60.0,0.0
5000,52.980000000000004,0.08137703743822462,60.0,0.0
6000,52.845,0.14840822079655816,60.0,0.0
7000,53.105,0.05449260908090636,60.0,0.0
8000,53.06,0.1723691129846385,60.0,0.0
9000,52.92,0.13666666666666694,60.0,0.0
10000,52.92,0.1150362261782493,60.0,0.0
